X1,X2,S2,S2_conf
A3,OT3,0.000293817142753,0.002739571084167
A3,P3,0.000281032332736,0.002754724993586
A3,PT3,0.00031132894479,0.002749020280213
A3,S3,0.000304985141789,0.002746986576223
A3,V3,0.000280741861361,0.002769163544081
A3,SW,0.000115869414083,0.002819861106622
A3,A2,0.00030981273706,0.002744745714501
A3,AL2,0.000314281052653,0.002744514322982
A3,C2,0.000307494852526,0.002747086289802
A3,CO2,0.000308409500381,0.00274712422567
A3,CU2,0.000305968541473,0.002747075385127
A3,D2,0.000306007691016,0.002747075841343
A3,G2,0.000303928587101,0.002747658476157
A3,OG2,0.000305613412547,0.00274693995257
A3,OD2,0.000306039023575,0.00274699610856
A3,OF2,0.000306206790669,0.002747038168971
A3,OT2,0.000309751788714,0.002749497194061
A3,P2,0.000306054004261,0.002747098525279
A3,PT2,0.000306138143337,0.002746979529234
A3,S2,0.000309844364252,0.002745804228246
A3,V2,0.000310791409496,0.002749067645656
A3,GR,0.000554902968299,0.002760025588049
A3,EP,0.000313404942134,0.002745752628621
AL1,C1,0.026164191485372,0.013805318893037
AL1,CO1,0.025959422685579,0.013815048738103
AL1,CU1,0.025997677084894,0.013812908060318
AL1,D1,0.026090567897955,0.013819742147785
AL1,G1,0.02585501782095,0.013837422805522
AL1,OG1,0.02616887844476,0.013806800147767
AL1,OD1,0.025983119793511,0.013804168148695
AL1,OF1,0.025953628468195,0.013803737098784
AL1,OT1,0.025923237586445,0.013840646168132
AL1,P1,0.02598741682806,0.013804974711719
AL1,PT1,0.025969661254826,0.013803785228784
AL1,S1,0.025978584519214,0.013804999787469
AL1,V1,0.026199840445152,0.013736114378399
AL1,A3,0.026050448493192,0.013921320286277
AL1,AL3,0.12638528540436,0.018319372457646
AL1,C3,0.026184819848698,0.013813852418453
AL1,CO3,0.025992546041476,0.013863222591466
AL1,CU3,0.025994768324987,0.013795469225867
AL1,D3,0.025991790501945,0.013803576157526
AL1,G3,0.025862353501031,0.013763315255531
AL1,OG3,0.025979162538344,0.013801737614236
AL1,OD3,0.025992390277393,0.013813666195555
AL1,OF3,0.026052415282111,0.013799131150606
AL1,OT3,0.026276686382138,0.013808975812022
AL1,P3,0.025997558196552,0.013805388694677
AL1,PT3,0.025956152713573,0.013789334290867
AL1,S3,0.025990001410915,0.01380039383289
AL1,V3,0.02606472990325,0.014115127110079
AL1,SW,0.033217326161138,0.014223107471538
AL1,A2,0.026003858331088,0.013806766530881
AL1,AL2,0.025942456145738,0.013782686474899
AL1,C2,0.025992188346932,0.013804870488546
AL1,CO2,0.026010435741418,0.0138045323021
AL1,CU2,0.025993942370323,0.013804860081691
AL1,D2,0.025993368504495,0.013804541516986
